time,ax,ay,az,atotal
2.611,0.00,-0.02,-0.05,0.06
2.621,0.01,0.00,-0.05,0.06
2.631,-0.01,0.01,-0.05,0.05
2.641,0.00,-0.01,-0.03,0.03
2.652,0.00,-0.02,-0.05,0.05
2.662,-0.01,-0.00,-0.04,0.04
2.672,-0.02,0.00,-0.05,0.05
2.682,-0.01,0.00,-0.05,0.05
2.692,-0.01,-0.00,-0.05,0.05
2.702,-0.00,-0.00,-0.05,0.05
2.712,-0.02,-0.00,-0.04,0.04
2.722,-0.02,-0.01,-0.05,0.06
2.732,-0.01,-0.01,-0.05,0.06
2.742,-0.01,-0.02,-0.05,0.05
2.752,-0.00,-0.00,-0.03,0.03
2.762,-0.00,-0.01,-0.04,0.04
2.773,-0.02,-0.00,-0.04,0.05
2.783,-0.01,0.00,-0.05,0.06
2.793,-0.00,0.00,-0.05,0.05
2.803,-0.01,-0.01,-0.03,0.04
2.813,-0.02,0.01,-0.03,0.04
2.823,-0.01,0.00,-0.04,0.04
2.833,-0.01,-0.01,-0.03,0.04
2.843,-0.02,-0.01,-0.04,0.05
2.853,0.01,-0.01,-0.06,0.06
2.863,0.00,0.00,-0.06,0.06
2.873,0.00,-0.01,-0.04,0.04
2.883,-0.02,0.00,-0.05,0.05
2.894,-0.01,-0.01,-0.05,0.05
2.903,-0.01,-0.02,-0.06,0.07
2.914,-0.00,-0.00,-0.06,0.06
2.924,-0.00,-0.02,-0.04,0.05
2.934,0.01,-0.01,-0.03,0.04
2.944,0.01,0.01,-0.05,0.05
2.954,-0.01,-0.01,-0.04,0.04
2.964,-0.01,-0.01,-0.05,0.05
2.974,0.00,-0.00,-0.05,0.05
2.984,0.01,-0.01,-0.04,0.04
2.994,-0.01,0.00,-0.05,0.05
3.004,-0.02,-0.02,-0.06,0.06
3.015,-0.01,-0.01,-0.03,0.04
3.024,-0.01,0.00,-0.03,0.03
3.035,0.01,-0.01,-0.04,0.04
3.045,-0.01,-0.01,-0.03,0.03
3.055,-0.01,0.00,-0.05,0.05
3.065,-0.01,-0.01,-0.04,0.04
3.075,-0.01,0.00,-0.06,0.06
3.085,-0.00,-0.01,-0.05,0.06
3.095,-0.01,0.00,-0.04,0.04
3.105,-0.01,-0.01,-0.05,0.05
3.115,-0.00,0.01,-0.05,0.05
3.125,-0.02,-0.01,-0.05,0.05
3.136,-0.01,-0.02,-0.06,0.06
3.145,-0.01,-0.00,-0.04,0.04
3.156,-0.02,-0.01,-0.05,0.05
3.166,-0.01,-0.01,-0.04,0.04
