time,ax,ay,az,atotal
2.228,-0.83,-0.44,0.18,0.96
2.238,-0.55,-0.23,-0.04,0.60
2.248,-0.21,-0.06,-0.37,0.43
2.258,-0.21,-0.04,-0.29,0.36
2.268,-0.36,-0.04,0.13,0.39
2.278,-0.35,0.00,0.45,0.57
2.288,-0.19,-0.04,0.57,0.60
2.298,-0.02,-0.14,0.60,0.62
2.308,0.24,-0.21,0.68,0.75
2.318,0.50,-0.21,0.75,0.93
2.328,0.83,-0.23,0.77,1.16
2.338,1.10,-0.39,0.82,1.43
2.349,1.13,-0.58,0.82,1.51
2.359,1.10,-0.76,0.67,1.50
2.369,1.09,-0.93,0.50,1.52
2.379,1.04,-1.04,0.28,1.50
2.389,1.08,-1.10,-0.00,1.54
2.399,1.28,-1.08,-0.33,1.70
2.409,1.48,-1.10,-0.55,1.92
2.419,1.65,-1.10,-0.75,2.13
2.429,1.74,-1.14,-0.96,2.29
2.439,1.76,-1.20,-1.17,2.43
2.450,1.77,-1.29,-1.39,2.60
2.459,1.72,-1.41,-1.65,2.77
2.470,1.65,-1.44,-1.98,2.95
2.479,1.55,-1.37,-2.27,3.08
2.490,1.58,-1.26,-2.50,3.21
2.500,1.77,-1.19,-2.59,3.35
2.510,2.21,-0.96,-2.43,3.42
2.520,2.87,-0.60,-2.09,3.60
2.530,3.55,-0.23,-1.45,3.85
2.540,4.30,0.16,-0.51,4.33
2.550,4.81,0.53,0.53,4.87
2.560,4.85,0.81,1.37,5.10
2.570,4.57,1.01,1.89,5.04
2.580,4.16,1.28,2.28,4.91
2.591,3.68,1.66,2.50,4.75
2.600,3.10,2.01,2.84,4.66
2.611,2.55,2.13,3.39,4.75
2.621,2.52,2.09,3.87,5.07
2.631,3.03,2.10,4.13,5.54
2.641,3.62,2.11,3.90,5.72
2.651,3.95,1.98,3.12,5.41
2.661,3.83,1.82,1.93,4.65
2.671,3.54,1.59,0.77,3.96
2.681,3.17,1.22,-0.12,3.40
2.691,2.67,0.75,-0.74,2.87
2.701,2.17,0.23,-1.02,2.41
2.711,1.85,-0.20,-0.94,2.09
2.721,1.69,-0.52,-0.52,1.84
2.732,1.54,-0.85,-0.15,1.77
2.741,1.54,-1.00,-0.07,1.84
2.752,1.51,-0.94,-0.16,1.79
2.762,1.38,-0.98,-0.36,1.73
2.772,1.12,-1.04,-0.58,1.64
2.782,0.81,-1.06,-0.81,1.56
2.792,0.48,-1.14,-0.90,1.53
2.802,0.15,-1.30,-0.76,1.51
2.812,-0.21,-1.35,-0.43,1.43
2.822,-0.30,-1.28,0.02,1.32
2.833,-0.28,-1.14,0.39,1.23
2.842,-0.27,-0.97,0.50,1.13
2.853,-0.16,-0.76,0.38,0.86
2.863,-0.17,-0.57,0.13,0.61
2.873,-0.19,-0.36,-0.14,0.43
2.883,-0.29,-0.07,-0.40,0.50
2.893,-0.37,0.07,-0.60,0.70
2.903,-0.58,0.12,-0.68,0.91
2.913,-0.80,0.16,-0.56,0.99
2.923,-1.07,0.18,-0.23,1.11
2.933,-1.31,0.12,0.31,1.35
2.943,-1.47,0.13,0.80,1.68
2.953,-1.45,0.18,1.21,1.90
2.963,-1.45,0.27,1.46,2.07
2.974,-1.36,0.36,1.52,2.07
2.984,-1.29,0.50,1.41,1.98
2.994,-1.30,0.70,1.12,1.85
3.004,-1.38,0.77,0.71,1.73
3.014,-1.53,0.81,0.29,1.76
3.024,-1.65,0.84,-0.12,1.86
3.034,-1.74,0.74,-0.42,1.94
3.044,-2.05,0.52,-0.49,2.17
3.054,-2.28,0.33,-0.45,2.35
3.064,-2.37,0.11,-0.31,2.40
3.074,-2.44,-0.14,0.01,2.44
3.084,-2.50,-0.33,0.29,2.54
3.095,-2.60,-0.44,0.40,2.67
3.104,-2.77,-0.51,0.42,2.84
3.115,-2.82,-0.55,0.30,2.89
3.125,-2.69,-0.46,0.10,2.73
3.135,-2.40,-0.22,-0.05,2.41
3.145,-2.04,0.03,-0.18,2.04
3.155,-1.82,0.20,-0.23,1.84
3.165,-1.63,0.22,-0.23,1.66
3.175,-1.52,0.16,-0.16,1.54
3.185,-1.52,0.02,-0.05,1.52
3.195,-1.52,-0.08,0.08,1.52
3.205,-1.49,-0.08,0.20,1.51
3.216,-1.41,-0.02,0.33,1.45
3.225,-1.31,0.08,0.41,1.37
3.236,-1.09,0.27,0.39,1.19
3.246,-1.01,0.54,0.33,1.19
3.256,-1.16,0.72,0.24,1.39
3.266,-1.33,0.80,0.12,1.55
3.276,-1.50,0.81,0.05,1.71
3.286,-1.65,0.95,0.05,1.91
3.296,-1.87,1.22,0.07,2.24
3.306,-2.02,1.53,0.12,2.54
3.316,-2.13,1.91,0.21,2.87
3.326,-2.12,2.30,0.38,3.15
3.336,-2.10,2.62,0.49,3.39
3.346,-1.98,2.79,0.64,3.48
3.357,-1.75,2.87,0.64,3.42
3.366,-1.50,3.00,0.41,3.38
3.377,-1.22,3.09,0.11,3.32
3.387,-1.18,3.01,-0.32,3.25
3.397,-1.36,2.75,-0.66,3.14
3.407,-1.52,2.45,-0.74,2.97
3.417,-1.64,2.10,-0.58,2.73
3.427,-1.74,1.69,-0.31,2.45
3.437,-1.75,1.32,-0.00,2.19
3.447,-1.80,0.98,0.25,2.06
3.457,-1.83,0.69,0.39,1.99
3.467,-1.75,0.49,0.51,1.89
3.477,-1.55,0.40,0.68,1.74
3.487,-1.34,0.34,0.80,1.60
3.498,-1.05,0.39,0.75,1.35
3.508,-0.76,0.48,0.53,1.04
3.518,-0.59,0.49,0.28,0.82
3.528,-0.46,0.39,0.09,0.61
3.538,-0.33,0.27,0.02,0.43
3.548,-0.21,0.11,0.10,0.25
3.558,-0.11,-0.02,0.21,0.24
3.568,0.01,-0.14,0.23,0.26
3.578,0.17,-0.17,0.18,0.30
3.588,0.25,-0.17,-0.04,0.30
3.598,0.25,-0.19,-0.36,0.48
3.608,0.13,-0.31,-0.61,0.69
3.619,-0.06,-0.52,-0.73,0.90
3.629,-0.33,-0.75,-0.75,1.11
3.639,-0.56,-0.89,-0.73,1.28
3.649,-0.71,-0.96,-0.65,1.35
3.659,-0.82,-1.03,-0.57,1.43
3.669,-0.91,-1.06,-0.54,1.50
3.679,-0.95,-1.05,-0.54,1.52
3.689,-0.93,-1.08,-0.51,1.51
3.699,-0.94,-1.12,-0.41,1.52
3.709,-0.88,-1.14,-0.29,1.47
3.719,-0.90,-1.13,-0.21,1.46
3.729,-0.98,-1.16,-0.20,1.53
3.740,-0.95,-1.05,-0.33,1.46
3.750,-0.85,-0.91,-0.40,1.31
3.760,-0.71,-0.72,-0.36,1.07
3.770,-0.50,-0.46,-0.28,0.74
3.780,-0.04,-0.23,-0.10,0.26
3.790,0.39,-0.11,0.20,0.45
3.800,0.78,-0.16,0.59,0.99
3.810,1.17,-0.33,1.01,1.58
3.820,1.58,-0.47,1.39,2.16
3.830,1.94,-0.60,1.59,2.58
3.840,2.27,-0.62,1.56,2.82
3.850,2.32,-0.48,1.20,2.66
