time,ax,ay,az,atotal
1.955,-0.01,-0.05,0.12,0.14
1.966,-0.09,-0.07,0.21,0.24
1.976,-0.09,-0.08,0.23,0.26
1.986,-0.05,-0.09,0.17,0.20
1.996,0.00,-0.09,0.05,0.11
2.006,0.06,-0.12,-0.08,0.15
2.016,0.10,-0.11,-0.23,0.27
2.026,0.13,-0.13,-0.30,0.35
2.036,0.14,-0.14,-0.28,0.34
2.046,0.11,-0.16,-0.21,0.29
2.056,0.10,-0.17,-0.13,0.24
2.066,0.08,-0.17,-0.07,0.20
2.076,0.04,-0.15,-0.03,0.16
2.086,-0.01,-0.11,-0.03,0.12
2.097,-0.06,-0.07,-0.03,0.10
2.107,-0.11,-0.02,-0.01,0.11
2.117,-0.12,0.02,-0.03,0.12
2.127,-0.08,0.04,-0.05,0.10
2.137,-0.05,0.04,-0.05,0.09
2.147,-0.05,-0.00,-0.08,0.09
2.157,0.01,-0.03,-0.08,0.09
2.167,0.07,-0.01,-0.09,0.12
2.177,0.14,-0.03,-0.16,0.22
2.187,0.19,-0.03,-0.20,0.28
2.197,0.18,-0.05,-0.16,0.24
2.207,0.02,-0.09,-0.02,0.09
2.218,-0.14,-0.08,0.20,0.25
2.228,-0.21,-0.11,0.36,0.43
2.238,-0.14,-0.11,0.44,0.47
2.248,0.01,-0.13,0.42,0.44
2.258,0.18,-0.15,0.29,0.37
2.268,0.27,-0.14,0.12,0.33
2.278,0.25,-0.13,-0.04,0.29
2.288,0.18,-0.11,-0.16,0.26
2.298,0.11,-0.10,-0.27,0.31
2.308,0.07,-0.10,-0.28,0.31
2.318,0.10,-0.10,-0.24,0.27
2.328,0.11,-0.15,-0.11,0.21
2.338,0.04,-0.19,0.08,0.21
2.349,-0.06,-0.21,0.24,0.33
2.359,-0.14,-0.24,0.27,0.38
2.369,-0.13,-0.20,0.20,0.31
2.379,-0.06,-0.09,-0.01,0.11
2.389,0.04,0.01,-0.32,0.32
2.399,0.15,0.11,-0.62,0.65
2.409,0.17,0.18,-0.80,0.83
2.419,0.11,0.18,-0.80,0.82
2.429,-0.02,0.13,-0.54,0.56
2.439,-0.14,0.04,-0.13,0.20
2.449,-0.17,-0.04,0.33,0.38
2.459,-0.16,-0.11,0.73,0.75
2.469,-0.07,-0.17,0.93,0.95
2.480,0.05,-0.19,0.90,0.92
2.490,0.12,-0.18,0.65,0.69
2.500,0.14,-0.13,0.25,0.31
2.510,0.09,-0.09,-0.11,0.17
2.520,0.06,-0.10,-0.37,0.39
2.530,0.05,-0.08,-0.51,0.51
2.540,0.04,-0.13,-0.45,0.47
2.550,0.10,-0.15,-0.29,0.34
2.560,0.13,-0.15,-0.16,0.25
2.570,0.16,-0.17,-0.08,0.25
2.580,0.19,-0.16,-0.06,0.26
2.590,0.17,-0.14,-0.08,0.23
2.601,0.10,-0.12,-0.12,0.20
2.611,-0.00,-0.11,-0.08,0.14
2.621,-0.05,-0.10,-0.03,0.12
2.631,-0.03,-0.07,0.05,0.10
2.641,0.02,-0.08,0.08,0.11
2.651,0.06,-0.08,0.08,0.13
2.661,0.07,-0.06,0.03,0.10
2.671,0.06,-0.03,-0.06,0.09
2.681,0.04,-0.01,-0.17,0.17
2.691,0.01,0.00,-0.23,0.23
2.701,-0.02,0.02,-0.21,0.21
2.711,-0.07,-0.02,-0.13,0.15
2.721,-0.10,-0.04,-0.00,0.11
2.732,-0.10,-0.05,0.15,0.18
2.742,-0.06,-0.04,0.21,0.22
2.752,0.02,-0.02,0.17,0.18
2.762,0.08,-0.03,0.07,0.11
2.772,0.16,-0.03,-0.05,0.17
2.782,0.13,-0.03,-0.12,0.18
2.792,0.08,-0.06,-0.11,0.15
2.802,0.04,-0.11,-0.03,0.12
2.812,0.05,-0.17,0.05,0.19
2.822,0.13,-0.21,0.11,0.27
2.832,0.24,-0.24,0.14,0.37
2.842,0.28,-0.25,0.11,0.39
2.852,0.29,-0.21,0.08,0.37
2.863,0.26,-0.19,0.02,0.32
2.873,0.16,-0.15,-0.04,0.22
2.883,0.08,-0.09,-0.05,0.13
